,Country/Region,Days_since_start,iso_alpha,Confirmed,Deaths,Recovered,Suspected,Population,Rate,Death Rate
0,China,0,CHN,327,6,0,169.0,1439323.774,54,14
1,Japan,0,JPN,1,0,0,0.0,126476.458,20,0
2,South Korea,0,KOR,1,0,0,0.0,51269.183,29,0
3,Thailand,0,THA,2,0,0,0.0,69799.978,33,0
4,US,0,USA,1,0,0,0.0,331002.647,11,0
5,China,1,CHN,549,17,0,137.0,1439323.774,59,24
6,Japan,1,JPN,2,0,0,0.0,126476.458,27,0
7,South Korea,1,KOR,1,0,0,0.0,51269.183,29,0
8,Thailand,1,THA,2,0,0,0.0,69799.978,33,0
9,US,1,USA,1,0,0,0.0,331002.647,11,0
10,China,2,CHN,639,18,30,67.0,1439323.774,60,25
11,Hong Kong,2,HKG,2,0,0,65.0,7496.988,55,0
12,Japan,2,JPN,2,0,0,0.0,126476.458,27,0
13,Macau,2,MAC,2,0,0,0.0,649.342,80,0
14,Singapore,2,SGP,1,0,0,0.0,5850.343,51,0
15,South Korea,2,KOR,1,0,0,0.0,51269.183,29,0
16,Taiwan,2,TWN,1,0,0,0.0,23816.775,37,0
17,Thailand,2,THA,3,0,0,0.0,69799.978,37,0
18,US,2,USA,1,0,0,0.0,331002.647,11,0
19,Vietnam,2,VNM,2,0,0,0.0,97338.583,30,0
20,China,3,CHN,916,26,36,123.0,1439323.774,64,28
21,France,3,FRA,2,0,0,0.0,65273.512,34,0
22,Hong Kong,3,HKG,2,0,0,36.0,7496.988,55,0
23,Japan,3,JPN,2,0,0,0.0,126476.458,27,0
24,Macau,3,MAC,2,0,0,0.0,649.342,80,0
25,Singapore,3,SGP,3,0,0,0.0,5850.343,62,0
26,South Korea,3,KOR,2,0,0,0.0,51269.183,36,0
27,Taiwan,3,TWN,3,0,0,0.0,23816.775,48,0
28,Thailand,3,THA,5,0,0,0.0,69799.978,42,0
29,US,3,USA,2,0,0,0.0,331002.647,17,0
30,Vietnam,3,VNM,2,0,0,0.0,97338.583,30,0
31,Australia,4,AUS,4,0,0,0.0,25499.881,50,0
32,China,4,CHN,1979,56,49,162.0,1439323.774,72,36
33,France,4,FRA,3,0,0,0.0,65273.512,38,0
34,Hong Kong,4,HKG,5,0,0,244.0,7496.988,65,0
35,Japan,4,JPN,2,0,0,0.0,126476.458,27,0
36,Macau,4,MAC,2,0,0,0.0,649.342,80,0
37,Malaysia,4,MYS,3,0,0,0.0,32365.998,45,0
38,Nepal,4,NPL,1,0,0,0.0,29136.808,35,0
39,Singapore,4,SGP,3,0,0,0.0,5850.343,62,0
40,South Korea,4,KOR,3,0,0,0.0,51269.183,40,0
41,Taiwan,4,TWN,3,0,0,0.0,23816.775,48,0
42,Thailand,4,THA,7,0,0,0.0,69799.978,46,0
43,US,4,USA,2,0,0,0.0,331002.647,17,0
44,Vietnam,4,VNM,2,0,0,0.0,97338.583,30,0
45,Australia,5,AUS,4,0,0,0.0,25499.881,50,0
46,Canada,5,CAN,1,0,0,0.0,37742.157,32,0
47,China,5,CHN,2737,80,51,0.0,1439323.774,75,40
48,France,5,FRA,3,0,0,0.0,65273.512,38,0
49,Hong Kong,5,HKG,8,0,0,0.0,7496.988,69,0
50,Japan,5,JPN,4,0,1,0.0,126476.458,34,0
51,Macau,5,MAC,6,0,0,0.0,649.342,91,0
52,Malaysia,5,MYS,4,0,0,0.0,32365.998,48,0
53,Nepal,5,NPL,1,0,0,0.0,29136.808,35,0
54,Singapore,5,SGP,4,0,0,0.0,5850.343,65,0
55,South Korea,5,KOR,3,0,0,0.0,51269.183,40,0
56,Taiwan,5,TWN,4,0,0,0.0,23816.775,51,0
57,Thailand,5,THA,8,0,2,0.0,69799.978,47,0
58,US,5,USA,5,0,0,0.0,331002.647,27,0
59,Vietnam,5,VNM,2,0,0,0.0,97338.583,30,0
60,Australia,6,AUS,5,0,0,0.0,25499.881,52,0
61,Cambodia,6,KHM,1,0,0,0.0,16718.971,40,0
62,Canada,6,CAN,1,0,0,0.0,37742.157,32,0
63,China,6,CHN,4409,106,60,0.0,1439323.774,80,42
64,France,6,FRA,3,0,0,0.0,65273.512,38,0
65,Germany,6,DEU,1,0,0,0.0,83783.945,24,0
66,Hong Kong,6,HKG,8,0,0,0.0,7496.988,69,0
67,Japan,6,JPN,4,0,1,0.0,126476.458,34,0
68,Macau,6,MAC,6,0,0,0.0,649.342,91,0
69,Malaysia,6,MYS,4,0,0,0.0,32365.998,48,0
70,Nepal,6,NPL,1,0,0,0.0,29136.808,35,0
71,Singapore,6,SGP,5,0,0,0.0,5850.343,67,0
72,South Korea,6,KOR,4,0,0,0.0,51269.183,43,0
73,Sri Lanka,6,LKA,1,0,0,0.0,21413.25,38,0
74,Taiwan,6,TWN,5,0,0,0.0,23816.775,53,0
75,Thailand,6,THA,8,0,2,0.0,69799.978,47,0
76,US,6,USA,5,0,0,0.0,331002.647,27,0
77,Vietnam,6,VNM,2,0,0,0.0,97338.583,30,0
78,Australia,7,AUS,5,0,0,0.0,25499.881,52,0
79,Cambodia,7,KHM,1,0,0,0.0,16718.971,40,0
