,Province/State,Confirmed,Deaths,Recovered,Days_since_start,Abbreviation,Population,Rate,Death Rate
0,New York,190288,9385,25765,83,NY,19453561,91,61
1,New York,190288,9385,25765,82,NY,19453561,91,61
2,New York,181825,8650,17089,81,NY,19453561,91,60
3,New York,174489,7887,16517,80,NY,19453561,91,60
4,New York,161799,7067,16234,79,NY,19453561,90,58
5,New York,151079,6269,15927,78,NY,19453561,89,57
6,New York,139876,5489,15592,77,NY,19453561,88,56
7,New York,131815,4758,14219,76,NY,19453561,88,54
8,New York,123160,4159,12977,75,NY,19453561,87,53
9,New York,114174,3565,11163,74,NY,19453561,86,52
10,New York,103060,2935,6622,73,NY,19453561,85,50
11,New York,92743,2468,6507,72,NY,19453561,84,48
12,New York,84025,2219,6402,71,NY,19453561,83,47
13,New York,76049,1714,0,70,NY,19453561,82,44
14,New York,67384,1342,0,69,NY,19453561,81,42
15,New York,59746,966,0,68,NY,19453561,80,39
16,New York,53520,834,0,67,NY,19453561,79,37
17,New York,46093,603,0,66,NY,19453561,77,34
18,New York,39140,457,0,65,NY,19453561,76,31
19,New York,33006,366,0,64,NY,19453561,74,29
20,New York,26374,271,0,63,NY,19453561,72,26
21,New York,23230,183,0,62,NY,19453561,70,22
22,New York,16916,153,0,61,NY,19453561,67,20
23,New York,12322,76,0,60,NY,19453561,64,13
24,New York,8403,46,0,59,NY,19453561,60,8
25,New York,5711,38,0,58,NY,19453561,56,6
26,New York,3083,20,0,57,NY,19453561,50,0
27,New York,1708,16,0,56,NY,19453561,44,-1
28,New York,969,10,0,55,NY,19453561,39,-6
29,New York,746,6,0,54,NY,19453561,36,-11
30,New York,613,2,0,53,NY,19453561,34,-22
31,New York,421,0,0,52,NY,19453561,30,0
32,New York,325,0,0,51,NY,19453561,28,0
33,New York,218,0,0,50,NY,19453561,24,0
34,New York,176,0,0,49,NY,19453561,22,0
35,New York,143,0,0,48,NY,19453561,19,0
36,New York,105,0,0,47,NY,19453561,16,0
37,New York,89,0,0,46,NY,19453561,15,0
38,New York,44,0,0,45,NY,19453561,8,0
39,New York,22,0,0,44,NY,19453561,1,0
40,New York,11,0,0,43,NY,19453561,-5,0
41,New York,2,0,0,42,NY,19453561,-22,0
42,New York,1,0,0,41,NY,19453561,-29,0
43,New York,1,0,0,40,NY,19453561,-29,0
44,New Jersey,61850,2350,355,83,NJ,8882190,88,55
45,New Jersey,61850,2350,355,82,NJ,8882190,88,55
46,New Jersey,58151,2183,355,81,NJ,8882190,87,55
47,New Jersey,54588,1932,51,80,NJ,8882190,87,53
